Coordinates,Female total bryophyte cover,Male total bryophyte cover,S total bryophyte cover,Female average stem height,Male average stem height,S average stem height,Total Max of Total bryophyte cover,Total Average of Stem height
T1 105,,,0.05,3,,1.844444444,0.05,1.96
T1 120,,,,,,,0,
T1 135,,,0.3,,,1.84,0.3,1.84
T1 15,,,,,,,0.1,
T1 150,,,0.075,,,1.1,0.075,1.1
T1 165,,,0.025,,,1.03,0.025,1.03
T1 180,,,0.1,,,1.47,0.1,1.47
T1 195,,,0.025,,,1.16,0.025,1.16
T1 210,,,0.2,,,1.54,0.2,1.54
T1 225,,,,,,,0,
T1 240,0.3,,,2.475,,2.483333333,0.3,2.48
T1 30,,,0.05,3.1,,2.211111111,0.05,2.3
T1 45,,,0.125,,,1.38,0.125,1.38
T1 60,,,,,,,0.05,
T1 75,,,0.4,,,1.68,0.4,1.68
T1 90,,,,,,,0,
T2 105 ,,,0.125,,,1.61,0.125,1.61
T2 120,,,0.025,,,1.63,0.025,1.63
T2 135,,,0.025,,,1.72,0.025,1.72
T2 15,,,,,,,0,
T2 150,,,,,,,0,
T2 165,,,,,,,0,
T2 180,,,,,,,0,
T2 195,,,,,,,0,
T2 210,,,0.025,,,1.53,0.025,1.53
T2 225,,,0.05,,,1.36,0.05,1.36
T2 240,,,,,,,0,
T2 255,,,0.075,,,1.21,0.075,1.21
T2 270,,,0.05,2.2,,1.566666667,0.05,1.63
T2 285,,,0.025,,,2.19,0.025,2.19
T2 30,,,0.025,,3.9,2.833333333,0.025,2.94
T2 300,,,,,,,0.025,
T2 315,,,0.025,,,1.85,0.025,1.85
T2 330,0.05,,,2.25,,2.0125,0.05,2.06
T2 345,,,0.425,,,1.67,0.425,1.67
T2 360,,,0.025,1.9,,2.222222222,0.025,2.19
T2 375,,,0.05,,,1.29,0.05,1.29
T2 390,,,0.075,,,1.23,0.075,1.23
T2 405,,,0.025,3.2,,2.266666667,0.025,2.36
T2 420,,,,,,,0,
T2 435,,,0,2.55,,2.25,0,2.31
T2 45,,,0.05,,,1.29,0.05,1.29
T2 450,,,,,,,0,
T2 465,,,0.025,3.2,,2.377777778,0.025,2.46
T2 480,,,,,,,0,
T2 495,,,,,,,0,
T2 510,,,,,,,0,
T2 525,,,,,,,0,
T2 540,,,,,,,0,
T2 555,,,0.2,,,1.58,0.2,1.58
T2 570,,,0.075,,,1.51,0.075,1.51
T2 585,,,0.075,,,1.92,0.075,1.92
T2 60,0.1,,,2.866666667,,2.425,0.1,2.69
T2 600,,,0.2,,,1.49,0.2,1.49
T2 615,,,,,,,0.05,
T2 630,,,,,,,0,
T2 645,,,0.05,2.15,,2.3125,0.05,2.28
T2 660,,,,,,,0,
T2 675,,,,,,,0.05,
T2 690,,,0.275,,,2.05,0.275,2.05
T2 705,,,,,,,0,
T2 720,,,,,,,0.025,
T2 735,,,,,,,0,
T2 75,,,0.025,,,1.98,0.025,1.98
T2 750,0.525,,,2.85,,2.725,0.525,2.8
T2 765,,,,,,,0,
T2 90,0.075,,,2.3,,1.833333333,0.075,1.88
T3 105,,,0.1,,,1.81,0.1,1.81
T3 120,,,,,,,0,
