Coordinates,Exposure of S. caninervis,Number of S. caninervis sporophytes,Stem height,Stem height:  exposed,Stem height: shaded,Number of inflorescences,No. Infl. per expressing ramet: exposed,No. Infl. per expressing ramet: shaded,"Sex (M,F,S)",Stem height sorted,No.  inflor by sorted st ht,No.  inflor sorted,St ht sorted by no. infl,Syntrichia caninervis cover,Syntrichia ruralis cover,Bryum algovicum cover,Bryum argenteum cover,Pterogoneurum spp. cover,Grimmia cover,Unknown sp. cover,Total bryophyte cover,Total lichen cover,Total cryptogam cover,,
T1 15,,,,,,,,,,,,,,0%,0%,10%,0%,0%,0%,0%,10%,0%,10%,,
T1 30,I,0,2.9,2,2.9,0,1,1,S,0.5,0,0,0.5,5%,0%,0%,0%,0%,0%,0%,5.00%,0%,5%,,
T1 30,I,,1.7,2.6,1.7,0,1,1,S,0.5,0,0,0.5,,,,,,,,,,,,
T1 30,I,,1.5,1.9,1.5,0,1,1,S,0.5,0,0,0.5,,,,,,,,,,,,
T1 30,I,,2,2.2,2,0,1,1,S,0.5,0,0,0.5,,,,,,,,,,,,
T1 30,I,,2.9,1.9,2.9,0,1,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,3.1,2,3.1,1,2,1,F,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2.1,2.3,2.1,0,1,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2.8,1.2,2.8,0,2,2,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2,1.8,2,0,1,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2,1.9,2,0,2,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 45,I,0,1.8,2.3,1.8,0,1,1,S,0.6,0,0,0.6,10%,0%,0%,0%,2.5%,0%,0%,12.50%,0%,13%,,
T1 45,I,,1.2,2.3,1.2,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.4,1.5,1.4,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.3,1.1,1.3,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.8,1.7,1.8,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.3,1.6,1.3,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1.1,2,1.1,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1.8,2.2,1.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1.1,1.6,1.1,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1,2.5,1,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 60,I,0,,2,,,1,1,,0.8,0,0,0.8,0%,0%,5%,0%,0%,0%,0%,5%,10%,15%,,
T1 75,I,0,1.6,1.3,1.6,0,1,1,S,0.8,0,0,0.8,40%,0%,0%,0%,0%,0%,0%,40%,20%,60%,,
T1 75,I,,1.8,1.5,1.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1.9,2,1.9,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1.7,1.8,1.7,0,1,1,S,0.8,1,0,0.8,,,,,,,,,,,,
T1 75,I,,1.9,2,1.9,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,0.8,1.1,0.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1.8,1.3,1.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,2.2,1.4,2.2,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,2.1,1.7,2.1,0,1,2,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1,1.8,1,0,,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 90,,0,,1.7,,,,1,,0.8,0,0,0.8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
