Join,Coordinates,Exposure of S. caninervis,Stem height,Number of inflorescences,"Sex (M,F,S)",Genomics_ID,Sample_ID,Inferred Genetic Sex
T1-75,T1 75,I,1.6,0.0,S,,,
T3-645,T3 645,I,2.2,1.0,F,,,
T3-645,T3 645,I,2.7,1.0,M,,,
T3-645,T3 645,I,3.4,1.0,M,,,
T3-645,T3 645,I,2.6,1.0,M,,,
T3-600,T3 600,I,1.9,0.0,S,,,
T3-600,T3 600,I,2.2,1.0,F,,,
T3-600,T3 600,I,2.0,0.0,S,,,
T3-645,T3 645,I,1.9,0.0,S,,,
T3-600,T3 600,I,2.0,0.0,S,,,
T3-600,T3 600,I,2.0,1.0,F,,,
T3-600,T3 600,I,2.1,1.0,F,,,
T3-600,T3 600,I,1.9,0.0,S,,,
T3-600,T3 600,I,2.5,1.0,F,,,
T3-600,T3 600,I,1.5,0.0,S,,,
T4-90,T4 90,I,2.1,0.0,S,,,
T3-540,T3 540,I,1.8,0.0,S,,,
T3-600,T3 600,I,2.3,0.0,S,,,
T3-645,T3 645,I,2.8,0.0,S,,,
T3-645,T3 645,I,2.8,0.0,S,,,
T3-645,T3 645,I,1.8,0.0,S,,,
T4-180,T4 180,I,2.9,0.0,S,,,
T4-180,T4 180,I,2.3,0.0,S,,,
T4-180,T4 180,I,1.8,0.0,S,,,
T4-180,T4 180,I,2.0,0.0,S,,,
T4-180,T4 180,I,1.4,0.0,S,,,
T3-690,T3 690,I,1.3,0.0,S,,,
T3-690,T3 690,I,2.2,0.0,S,,,
T3-690,T3 690,I,1.8,0.0,S,,,
T3-690,T3 690,I,1.2,0.0,S,,,
T3-690,T3 690,I,1.6,0.0,S,,,
T3-690,T3 690,I,1.3,0.0,S,,,
T3-690,T3 690,I,2.1,0.0,S,,,
T3-690,T3 690,I,2.0,0.0,S,,,
T3-690,T3 690,I,2.0,0.0,S,,,
T3-690,T3 690,I,2.6,0.0,S,,,
T3-645,T3 645,I,2.2,0.0,S,,,
T3-645,T3 645,I,1.5,0.0,S,,,
T3-540,T3 540,I,1.9,0.0,S,,,
T3-540,T3 540,I,2.3,0.0,S,,,
T3-540,T3 540,I,2.0,0.0,S,,,
