Genomics_ID,Sample_ID,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex,NOTES,Gel Date,Lab
GJB341,BOWKER-T1-30,M. Bowker,1997,17,39,24,F,,,Mishler
GJB342,BOWKER-T1-30,M. Bowker,1997,17,39,24,F,,,Mishler
GJB343,BOWKER-T1-30,M. Bowker,1997,17,39,24,F,,,Mishler
GJB344,BOWKER-T1-30,M. Bowker,1997,17,39,24,F,,,Mishler
GJB345,BOWKER-T1-30,M. Bowker,1997,17,39,24,F,,,Mishler
GJB346,BOWKER-T1-30,M. Bowker,1997,17,39,24,F,,,Mishler
GJB347,BOWKER-T1-30,M. Bowker,1997,18,42,24,F,,,Mishler
GJB348,BOWKER-T1-30,M. Bowker,1997,18,42,24,F,,,Mishler
GJB349,BOWKER-T1-30,M. Bowker,1997,18,42,24,F,,,Mishler
GJB349*,BOWKER-T1-30.1,M. Bowker,1997,,39,24,F,DIRECT LEAF PCR,,Mishler
GJB350,BOWKER-T1-45,M. Bowker,1997,19,45,25,F,,,Mishler
GJB351,BOWKER-T1-45,M. Bowker,1997,19,45,25,F,,,Mishler
GJB352,BOWKER-T1-45,M. Bowker,1997,19,45,25,F,,,Mishler
GJB353,BOWKER-T1-45,M. Bowker,1997,19,45,25,F,,,Mishler
T1-105.1,BOWKER-T1-105,M. Bowker,1997,,D3,25,F,DIRECT LEAF PCR,,Mishler
T1-105.2,BOWKER-T1-105,M. Bowker,1997,,D3,25,F,DIRECT LEAF PCR,,Mishler
T1-105.3,BOWKER-T1-105,M. Bowker,1997,,D3,25,F,DIRECT LEAF PCR,,Mishler
T1-105.4,BOWKER-T1-105,M. Bowker,1997,,D3,25,F,DIRECT LEAF PCR,,Mishler
T1-105.5,BOWKER-T1-105,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-105.6,BOWKER-T1-105,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-105.7,BOWKER-T1-105,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-105.8,BOWKER-T1-105,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-105.9,BOWKER-T1-105,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-105.10,BOWKER-T1-105,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.1,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.2,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.3,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.4,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.5,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.6,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.7,BOWKER-T1-75,M. Bowker,1997,,D4,26,,DIRECT LEAF PCR,,Mishler
T1-75.8,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.9,BOWKER-T1-75,M. Bowker,1997,,D4,26,,DIRECT LEAF PCR,,Mishler
T1-75.10,BOWKER-T1-75,M. Bowker,1997,,D4,26,F,DIRECT LEAF PCR,,Mishler
T1-75.11,BOWKER-T2-75.11,M. Bowker,1997,,D11,34,F,DIRECT LEAF PCR,,Mishler
T1-75.12,BOWKER-T2-75.12,M. Bowker,1997,,D11,33,F,DIRECT LEAF PCR,,Mishler
