Genomics_ID,Sample_ID,loc,lat,lon,Coordinates: Exact or Approximate?,Species,Expressed Sex,Leaf Dissection?,Photos,Grid?,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex
GJB341,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB342,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB343,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB344,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB345,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB346,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB347,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,18,42,24,F
GJB348,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,18,42,24,F
GJB349,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,18,42,24,F
GJB349*,BOWKER-T1-30.1,,,,,S. caninervis,U,,,,M. Bowker,1997,NA,39,24,F
GJB350,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
GJB351,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
GJB352,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
GJB353,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
T1-105.1,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.2,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.3,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.4,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.5,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.6,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.7,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.8,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.9,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.10,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.1,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.2,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
